id,capability,status,sprint,layer,component,actor,description,interface,addresses_or_ids,preconditions,acceptance_evidence,limitations,next
C011,Dev node (--dev miner),shipped,1,consensus,quub-node --dev,engineer,Local EthereumNode miner HTTP 8545 chain 8091 same QuubEvmFactory.,scripts/devnet.sh,:8545,rustc 1.96; target/debug/quub-node,chain-id 8091; F213 codesize 1274,Ephemeral datadir; anvil keys; not Ethereum security,Named datadir if history needed
C012,Mode A derived L2,shipped,2,consensus,geth + quub-node --engine + op-node v1.19.7,engineer,"L1 geth :8546 full genesis (not anvil). Engine API :9551 JWT. L2 HTTP :9545 chain 8091. op-deployer 0.8.x SystemConfig 0xe991…F990.",scripts/mode-a.sh,:8546 :9545 :9551,ADR-016 pin op-rs/reth aef8d3ef + op-reth/v2.4.4,L2 payment 0x38ee96f1…; freeze; kill-test 216→216,No public batcher; Mode A OwnerB exception,Sepolia L1 + batcher
C013,Kill-test (no solo mining),shipped,2,consensus,op-node,engineer,Stop op-node only; L2 block number must not increase.,ps + cast block-number,n/a,Mode A up,216 stays 216,If it moves you are on --dev miner,Keep as regression
C014,Genesis etch F210-F213,shipped,1.5,execution,alloc_genesis + alloc hex,node,System contracts at frozen addresses. Never CREATE onto F210.,genesis alloc,F210-F213,forge inspect layouts,cast codesize non-zero,Layout change requires regen hex,Do not shuffle slots
C015,Stateful policy precompile,shipped,1.5,execution,F201 new_stateful + policy_load sload,node,Cache key is not calldata-only; freeze is visible next tx.,DynPrecompile::new_stateful,F201 F211,slots.rs packed ownerB+paused,Freeze then memo reverts on live node,Wrong slots = silent allow,Keep inspect-driven slots
C016,Operator HTTP API,shipped,4,product,apps/operator-api :8080,ops,"GET /health POST /v1/payments GET /v1/payments/{endToEndId} POST /v1/freeze POST /v1/unfreeze. Bearer token. Idempotent on endToEndId. Bind 127.0.0.1.",HTTP JSON,QUUB_RPC QUUB_OPERATOR_TOKEN QUUB_OPERATOR_KEY,chain id 8091,gateway-dev pay mine freeze 422 reason 1; rg xzero empty,Memory idempotency; unfreeze may lag Sprint 5 two-key,Postgres + TLS + align unfreeze
C017,ISO field validation (pre-broadcast),shipped,0/4,product,services/quub-iso,operator-api,Reject empty endToEndId / missing UETR before send.,API 400 / unit tests,n/a,quub-iso crate,Sprint0 + operator-api tests,Not a full pacs.008 engine,Core-banking adapter
C018,Workspace / Foundry tests,shipped,0-5,quality,cargo + forge,CI local,Regression net: primitives policy iso evidence pool payload contracts.,cargo test --workspace; forge test,n/a,rustc 1.96,forge 17 (9+8); cargo green exclude operator-api WIP then 47 with API,operator-api exclude during 4 WIP,Commit 4+5; CI
C019,Architecture ADRs 016-019,shipped,2-5,governance,docs/adr + ARCHITECTURE.md,team,"Pin swap; payment lane; paymaster + dual-control documented.",markdown,ADR-016 017 019,n/a,Files in repo,ADR-020 with Sprint 6,Keep ADRs as source of truth
C020,Deployment + physical docs,shipped,docs,ops,DEPLOYMENT.md PHYSICAL.md,team,Ports pins hosts disks trust zones. One laptop today.,markdown,n/a,n/a,artifacts QUUB-DEPLOYMENT QUUB-PHYSICAL,Prod not standing,Four-host split when leaving laptop
C030,CCTP rail record (USDC to Base),in_progress,6,interop,services/quub-gateway,ops,"After Quub memo: CCTP burn/attest/mint. RailRecord keyed by endToEndId. Mock valid if no Circle env. Live ≤1 USDC Base Sepolia.",scripts/rail-base.sh; CctpAdapter,CCTP domains TokenMessenger USDC on Sepolia/Base Sepolia — from Circle spec not 8091,Quub memo mined; policy allow,Print live|mock + quubTx + memoHash + burn + mint,Quub is not a CCTP domain; do not burn QPT,Live Sepolia then mainnet Base
C031,Policy-gated rail,planned,6,interop,quub-gateway,ops,If F201 would reject do not call burn.,unit spy on adapter,F211,Freeze fixture,burn never called,n/a,Keep on every new rail
C032,Rail retry without second memo,planned,6,interop,RailRecord,ops,CCTP fail after Quub mined → status failed; retry same endToEndId.,record.rs,endToEndId,Existing quubTx,No second transferWithMemo,No automatic refund of F210,Ops playbook
C033,operator-api two-key unfreeze,gap,4+5,product,operator-api,ops,API unfreeze must propose+confirm after Sprint 5.,POST /v1/unfreeze,F211 OwnerA OwnerB,Sprint 5 live,Single-key unfreeze must not status 1,Current drift,Fix before partner demo
C034,Mode A OwnerB etch,gap,5 exception,control,l2-genesis-quub.json,deploy,Mode A alloc still single owner.,op-deployer merge,F211 slot OwnerB,Mode A stack,OwnerB != OwnerA on 9545,STATUS.md exception,Regen L2 genesis
C035,Named datadir / persistence,planned,ops,ops,quub-node,engineer,Survive restart so receipt hashes remain.,flag / env,n/a,--dev today ephemeral,Receipt still there after restart,n/a,Default named dir for Mode A
C036,TLS public API + RPC,planned,ops,ops,edge + operator-api,partner,"api.quub.network and rpc.quub.network. 127.0.0.1 stays default in scripts.",HTTPS,quub.network DNS,TLS certs; no 0.0.0.0 until then,Health 8091 over TLS,quub.fi is marketing,KMS first
C037,Postgres idempotency,planned,ops,product,operator-api,ops,endToEndId survives process restart.,SQL,endToEndId,API host,Duplicate POST same hash after reboot,Memory today,Required before public API
C038,KMS / split keys,planned,ops,security,API vs sequencer vs owners,security,Freeze key != CCTP burner != Engine JWT.,HSM/KMS,n/a,Four-host physical split,Threat model in PHYSICAL.md,All keys on one laptop today,First split before mainnet USDC
C039,Public L1 batcher + proposer,planned,next,consensus,op-batcher op-proposer,ops,Mode A posts to Sepolia then Ethereum. Verifier host no sequencer key.,OP stack,Sepolia then L1,Pin bump as a set with op-node,External can verify L2,No Kona year-1,Fault proofs later
C040,Live CCTP ≤1 USDC,planned,6 live path,interop,Circle + Base Sepolia,ops,Real burn/mint after mock pass.,Circle API + Sepolia/Base RPC,official messengers,Funded test key,Mint on Base Sepolia,No mainnet in Sprint 6,Partner Base mainnet
C041,Ethereum mainnet CCTP rail,planned,next rail,interop,quub-gateway,ops,Same RailRecord; new domain ids.,adapter config,CCTP Ethereum domain,C040 done,Same endToEndId two dests not required,n/a,After testnet
C042,Solana adapter,planned,later rail,interop,SolanaAdapter stub,ops,Stub exists; do not implement in Sprint 6.,TBD,n/a,CCTP pattern proven,n/a,Different signing model,Own sprint
C043,CCIP for non-USDC,planned,later rail,interop,Chainlink CCIP,ops,Only assets CCTP will not carry. Complementary not a Circle replacement.,adapter,CCIP routers,Design partner asset list,n/a,Do not rebuild CCTP on CCIP,After USDC rail stable
C044,pacs.008 origination,planned,next product,origination,quub-iso + core adapter,bank,Map real pacs.008 to memo fields already on F210.,ISO file / MQ,endToEndId UETR,Bank feed,Round-trip id match,Stub validation only today,Partner core
C045,Travel-rule provider hash,planned,next product,compliance,trHash field,compliance,Replace fixture trHash with TRP/Sumsub/Sygna output.,API field already exists,trHash,Vendor contract,Missing hash = reason 5 as today,No vendor wired,Do not invent TR protocol
C046,Regulator period extract,planned,next product,compliance,F212 + freeze log + RailRecord,compliance,Export memos evidence freezes rails for a window.,CSV/JSON extract,n/a,Postgres + explorer,n/a,No explorer today,After persistence
C047,Read-only verifier node,planned,next,consensus,quub-node + op-node no sequencer key,third party,Check memos and freezes without block production.,same binaries,8091,Public L1 data,Matches sequencer head,Not built,Needs C039
C048,On-us vs off-us routing,planned,product,product,operator-api + gateway,ops,On-us = Quub only; off-us = Quub + CCTP. Same POST body + rail flag.,POST rail field,endToEndId,C016 + C030,n/a,No rail flag on API yet (Sprint 6 uses script),Add after 6
C049,Disbursement / payroll batch,possible,product,product,API loop + lane,ops,Many memos; lane keeps them ahead of general; freeze list for stopped payees.,API batch later,F210 F211,C001 C005 C010,n/a,No batch endpoint,Add only if partner asks
C050,Marketplace vendor payout,possible,product,product,API + CCTP,platform,Identified payout then USDC on Base for vendors who already bank on Coinbase/Base.,C001+C030,n/a,Partner,n/a,n/a,After live CCTP
X001,Native network token / ticker,out_of_scope,—,token,—,—,No QUUB coin. F210 on --dev is QPT dummy. Fees in listed stable.,n/a,n/a,n/a,n/a,Do not add genesis ticker,Never year-1
X002,Mode B Simplex,out_of_scope,—,consensus,quub-consensus-simplex stub,—,Not enabled with Mode A. No HA-by-Simplex.,feature mode-b off,n/a,n/a,n/a,Stub only,Do not start
X003,Quub USDC / lock-mint bridge,out_of_scope,—,interop,—,—,Do not wrap or mint USDC. Circle mints.,n/a,n/a,n/a,n/a,Would make Quub a bridge,Forbidden
X004,Anvil as Mode A L1,out_of_scope,—,consensus,anvil,—,Empty state root breaks SystemConfig proofs.,n/a,n/a,n/a,Sprint 2 fail then geth,n/a,Forbidden
X005,Second Reth git / float main,out_of_scope,—,build,Cargo.lock,—,One remote op-rs/reth aef8d3ef.,ADR-016,n/a,n/a,n/a,n/a,Pin bump is an ADR
X006,Superchain registry / public sequencer,out_of_scope,year-1,consensus,—,—,No rpc.quub.network until TLS+KMS.,n/a,n/a,n/a,n/a,n/a,After C036 C038 C039
X007,zk / RISC-V proving / Kona,out_of_scope,year-1,proofs,—,—,Not required to settle identified payments.,n/a,n/a,n/a,n/a,n/a,When a partner runs a verifier
X008,General DEX / NFT L1,out_of_scope,—,product,—,—,EVM exists; product is payments not a general chain pitch.,n/a,n/a,n/a,n/a,n/a,Do not sell
X009,Consumer retail wallet year-1,out_of_scope,—,product,—,—,Actor is operator/bank not retail app.,n/a,n/a,n/a,n/a,n/a,Later
X010,Bind 0.0.0.0 on node or API,out_of_scope,year-1,ops,—,—,Loopback only until TLS edge exists.,n/a,127.0.0.1,n/a,n/a,n/a,PHYSICAL.md
